firm,size,year,treshold,ROA3,ROA,FL,ETL,ROA2,ETLL,PPD,ROE,ROC,BVnK2,BVnK,GPM,PpDRG,RGSiD,NPA,RK,DAA,IADMA,IADMA2,KZP,KZP2,DZP,DZP2,ZFPP,IiPKKCHoSP,AR,ADA,AAA,RnSK,RnP,RnBA,EnR,OEnP,EnS,PPP,PPA,PPD,EDMA,EDMA2,OL,OL2,BL,NL,AL,AL2,PoOK,PoOK2,FM,VzGnSoD,FA,FLL,PnKZ,FS,OKP,InPoP,PRnK,OPnL,OPP,LP,DDkSK,ODA2,OKA,OKA2,ZnS,OnA2,OnB,SSnD,KSnDpDP,KSOLP,SSOLP,Unempoyment,Inlation,GDPgrove,GP,GP.index,EGP,KPEE
3,3,2012,500,0.064959,0.048840,0.525349,0.143426,0.040170,0.163662,0.105861,0.092258,0.077027,0.077027,0.047633,0.058216,0.071529,0.516848,0.078029,-0.105130,0.959030,0.033637,0.030306,0.261444,0.277490,0.738556,0.722510,0.166154,0.080004,0.026206,0.880140,0.844081,0.090471,0.071426,0.039914,1.061255,0.083806,0.907441,0.076811,0.059537,0.105861,0.880512,0.877432,0.280426,0.255322,0.212425,0.208294,0.002065,0.007679,-0.136502,-0.150517,-0.238293,1.119994,0.441179,0.558688,0.684144,0.890379,-0.188128,0.054389,5.844614,0.378978,0.299962,0.048974,0.935494,0.807408,18.798300,19.377427,1.238532,0.775111,0.039905,1.522050,1.483600,0.030000,0.113333,12.300000,4.200000,0.015862,0.249542,1.439266,1.996101,1.024021
3,3,2011,500,0.078404,0.064959,0.558688,0.163662,0.050685,0.187276,0.123058,0.124249,0.100426,0.100426,0.064921,0.076522,0.096409,0.588982,0.066834,-0.128353,0.960981,0.026999,0.023701,0.293413,0.370377,0.706587,0.629623,0.244569,0.083807,0.027151,0.902218,0.867015,0.118582,0.089300,0.050939,1.082863,0.106502,0.848129,0.094876,0.069845,0.123058,0.829271,0.825702,0.233125,0.206860,0.158741,0.132682,0.012643,0.009442,-0.173481,-0.236260,-0.298796,1.183357,0.429569,0.569520,0.844560,0.866435,-0.225011,0.241224,4.974714,0.353470,0.291681,0.054264,0.938287,0.771154,18.962037,16.228726,1.296759,0.736172,0.032875,1.406451,1.511580,0.220000,0.195000,11.300000,2.800000,0.080085,0.151835,1.151835,2.181925,1.043590
3,3,2010,500,0.065828,0.078404,0.569520,0.187276,0.035761,0.127642,0.076172,0.093291,0.087258,0.087258,0.047403,0.056656,0.074136,0.520428,0.030413,-0.219049,0.948357,0.020432,0.023748,0.441226,0.398249,0.558774,0.601751,0.305616,0.046806,0.029186,0.919269,0.871795,0.078688,0.049573,0.030413,1.060059,0.094862,0.829982,0.079185,0.054949,0.076172,0.662382,0.807601,0.190781,0.313717,0.137034,0.122071,0.007482,0.005656,-0.371174,-0.242880,-0.566748,1.221667,0.386501,0.612715,0.499549,0.769023,-0.357048,0.509587,2.694243,0.458318,0.362812,0.046310,0.886952,0.751861,11.427541,9.006839,1.330033,0.693934,0.059423,1.477377,1.472760,0.180000,0.200000,10.300000,4.500000,0.024457,-0.011877,1.000000,2.630467,0.998044
4,3,2013,500,0.032229,0.029813,0.228792,0.231894,0.023115,0.244057,0.189013,0.030914,0.035489,0.035460,0.025432,0.045514,0.058373,0.402309,0.089903,-0.009886,0.930396,0.009038,0.006830,0.339259,0.361211,0.654316,0.635830,0.000000,0.000000,0.035119,0.884844,0.823255,0.030443,0.099486,0.023310,1.047685,0.057084,0.685964,0.077784,0.043915,0.189013,0.685881,0.681278,0.875631,0.790580,0.839962,0.798927,0.020518,0.015427,-0.017364,-0.033802,-0.012911,1.076222,0.765695,0.233054,0.623106,0.987756,-0.042193,-0.045514,11.561237,0.282051,0.184497,0.043585,0.200223,0.608411,8.179885,7.836643,1.643625,0.564579,0.114407,1.473555,1.419020,0.020000,0.018333,12.900000,-1.600000,0.001536,-0.065055,1.345635,2.227299,1.014518
4,3,2012,500,0.039542,0.032229,0.233054,0.244057,0.031511,0.232885,0.190202,0.042629,0.046505,0.046505,0.037059,0.057072,0.072243,0.392784,0.068545,-0.028129,0.925558,0.004653,0.005943,0.379947,0.574038,0.620053,0.425962,0.000000,0.241446,0.031401,0.890512,0.824220,0.042248,0.114249,0.030843,1.060715,0.065982,0.716022,0.087536,0.052459,0.190202,0.709007,0.711766,0.725764,0.456137,0.687515,0.664421,0.011547,0.005641,-0.047954,-0.135868,-0.038530,1.175028,0.730038,0.269096,1.021410,0.969609,-0.104195,0.117572,8.749338,0.206174,0.146040,0.032355,0.229290,0.643209,7.879682,8.775563,1.554705,0.599284,0.118201,1.522050,1.483600,0.030000,0.113333,12.300000,4.200000,0.015862,0.249542,1.439266,1.996101,1.024021
4,3,2011,500,0.041970,0.039542,0.269096,0.232885,0.032419,0.257922,0.206440,0.045168,0.052916,0.052916,0.040874,0.060275,0.078687,0.429924,0.060912,-0.137078,0.938135,0.007244,0.006290,0.791816,0.732887,0.208184,0.267113,0.256179,-0.030018,0.034139,0.908072,0.851894,0.040160,0.119680,0.030070,1.064142,0.071023,0.703079,0.094631,0.055921,0.206440,0.639375,0.698657,0.310970,0.361982,0.268359,0.248284,0.002461,0.004096,-0.250094,-0.223345,-0.183076,1.153494,0.748750,0.250883,0.459785,0.853882,-0.545585,0.104637,4.026551,0.228880,0.162277,0.039175,0.069858,0.638760,8.859642,7.891671,1.565532,0.590930,0.091012,1.406451,1.511580,0.220000,0.195000,11.300000,2.800000,0.080085,0.151835,1.151835,2.181925,1.043590
4,3,2010,500,0.050246,0.041970,0.250883,0.257922,0.038472,0.221854,0.168023,0.056563,0.062251,0.062251,0.047665,0.071506,0.098792,0.511971,0.058490,-0.126021,0.909899,0.005140,0.022282,0.678524,0.602978,0.321476,0.397022,0.207474,-0.024560,0.029475,0.911509,0.829381,0.055008,0.117692,0.037487,1.077013,0.084369,0.727805,0.092226,0.054925,0.168023,0.697111,0.711588,0.416899,0.543778,0.338818,0.327105,0.005856,0.007136,-0.217168,-0.147738,-0.184922,1.229998,0.681483,0.317654,0.588818,0.861500,-0.395648,0.000000,3.627022,0.233315,0.180384,0.040019,0.150254,0.665319,6.440468,5.678856,1.503038,0.595547,0.124007,1.477377,1.472760,0.180000,0.200000,10.300000,4.500000,0.024457,-0.011877,1.000000,2.630467,0.998044
5,3,2013,500,0.068328,0.041955,0.570354,0.122315,0.043108,0.163126,0.115889,0.119383,0.089293,0.082810,0.062815,0.076969,0.102040,0.443700,0.152130,-0.171993,0.917154,0.070703,0.063035,0.440717,0.393007,0.559248,0.606976,0.133493,0.017172,0.036076,0.858512,0.787388,0.113317,0.082653,0.047793,1.083387,0.101470,0.796827,0.107919,0.067396,0.115889,0.731506,0.742440,0.325092,0.383283,0.282149,0.188164,0.046992,0.035300,-0.276988,-0.231840,-0.407796,1.171973,0.421762,0.573126,0.443488,0.812449,-0.297443,-0.012544,2.923963,0.318959,0.246369,0.038710,0.766732,0.686262,7.495090,6.940283,1.457170,0.624510,0.096510,1.473555,1.419020,0.020000,0.018333,12.900000,0.890094,0.001536,-0.065055,1.345635,2.227299,1.014518
5,3,2012,500,0.059332,0.063369,0.573126,0.163126,0.036749,0.142267,0.096114,0.094866,0.075301,0.075301,0.046639,0.062607,0.079923,0.442259,0.110531,-0.117266,0.902797,0.055133,0.067387,0.347757,0.346161,0.652243,0.653839,0.143341,0.163802,0.033545,0.871087,0.786415,0.093535,0.058130,0.035850,1.065964,0.090994,0.831053,0.093185,0.060761,0.096114,0.763281,0.770786,0.453227,0.424320,0.382330,0.339838,0.021246,0.012298,-0.184351,-0.187231,-0.305952,1.239024,0.383281,0.614964,0.719500,0.870109,-0.190145,0.158263,3.662689,0.380618,0.290253,0.039692,1.049491,0.716519,6.544037,7.246213,1.395636,0.652044,0.121744,1.522050,1.483600,0.030000,0.113333,12.300000,2.954568,0.015862,0.249542,1.439266,1.996101,1.024021
5,3,2011,500,0.071018,0.059332,0.614964,0.142267,0.046204,0.162610,0.109841,0.121090,0.087942,0.087942,0.057214,0.087246,0.115192,0.482900,0.104903,-0.127147,0.917606,0.079884,0.066743,0.344459,0.311184,0.655541,0.688816,0.321994,-0.034198,0.037721,0.861114,0.790163,0.115715,0.074505,0.045323,1.095585,0.120647,0.737493,0.115718,0.068117,0.109841,0.672075,0.684360,0.393211,0.443025,0.297779,0.292189,0.002669,0.002991,-0.220198,-0.182094,-0.324622,1.143523,0.391678,0.608103,0.426499,0.861436,-0.209013,0.252323,3.772322,0.349325,0.277952,0.044460,1.018132,0.643507,7.008069,6.904170,1.553985,0.588642,0.107001,1.406451,1.511580,0.220000,0.195000,11.300000,4.219903,0.080085,0.151835,1.151835,2.181925,1.043590
